code,rate,base_rate_code,date
XOF,564.9999004,USD,2021-10-19
XOF,779.7454817,GBP,2021-10-19
XPF,119.869104,EUR,2021-10-19
XPF,102.9501701,USD,2021-10-19
XPF,142.0795471,GBP,2021-10-19
YER,291.376355,EUR,2021-10-19
YER,250.250017,USD,2021-10-19
YER,345.3652291,GBP,2021-10-19
ZAR,16.940229,EUR,2021-10-19
ZAR,14.54919907,USD,2021-10-19
ZAR,20.07906945,GBP,2021-10-19
ZMK,10480.46498,EUR,2021-10-19
ZMK,9001.198944,USD,2021-10-19
ZMK,12422.38132,GBP,2021-10-19
ZMW,19.8238,EUR,2021-10-19
ZMW,17.02576822,USD,2021-10-19
ZMW,23.49693484,GBP,2021-10-19
ZWL,374.917293,EUR,2021-10-19
ZWL,321.9995628,USD,2021-10-19
ZWL,444.3853956,GBP,2021-10-19
